busname,bustype,Departing_time,Reaching_time,Duration,Price,rating,seats_available
NueGo,Electric A/C Seater (2+2),23:50,05:20,05h 30m,332,4.1,36 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,02:48,05h 48m,350,4.4,26 Seats available
NueGo,Electric A/C Seater (2+2),11:00,17:15,06h 15m,332,4.1,33 Seats available
Go Tour Travels and Holidays,A/C Sleeper (2+1),22:00,03:00,05h 00m,627,4.2,15 Seats available
NueGo,Electric A/C Seater (2+2),13:00,18:30,05h 30m,332,4.1,38 Seats available
NueGo,Electric A/C Seater (2+2),09:00,14:30,05h 30m,332,4.1,33 Seats available
NueGo,Electric A/C Seater (2+2),14:00,19:30,05h 30m,332,4.0,38 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),06:00,12:23,06h 23m,350,4.3,26 Seats available
NueGo,Electric A/C Seater (2+2),05:00,11:15,06h 15m,332,4.0,30 Seats available
CHOPPA TRAVELS,Non A/C Seater / Sleeper (2+1),20:50,03:55,07h 05m,499,4.6,30 Seats available
GKT TRAVELS,A/C Seater/Sleeper (2+1),21:15,04:10,06h 55m,427,4.1,28 Seats available
HYBUS,Bharat Benz A/C Sleeper (2+1),22:30,04:00,05h 30m,585,4.4,29 Seats available
AGR Travels,A/C Sleeper (2+1),22:00,03:30,05h 30m,699,4.0,29 Seats available
NueGo,Electric A/C Seater (2+2),18:00,23:55,29h 55m,332,3.8,32 Seats available
Kaveri Travels,A/C Seater / Sleeper (2+1),19:00,23:30,04h 30m,549,3.7,34 Seats available
Rajeswari Travels,A/C Seater / Sleeper (2+1),21:00,04:00,07h 00m,400,3.5,31 Seats available
Rajeswari Travels,Non A/C Seater / Sleeper (2+1),22:15,03:45,05h 30m,400,3.6,29 Seats available
Rajeswari Travels,A/C Sleeper (2+1),21:15,04:05,06h 50m,650,3.6,20 Seats available
NueGo,Electric A/C Seater (2+2),20:00,01:30,05h 30m,332,4.0,38 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),07:00,13:23,06h 23m,350,4.0,35 Seats available
Zingbus Plus,A/C Seater / Sleeper (2+1),20:50,01:30,04h 40m,508,4.0,40 Seats available
Kaveri Travels,VE A/C Sleeper (2+1),21:30,02:00,04h 30m,699,3.7,24 Seats available
RK Travels,Non A/C Seater / Sleeper (2+1),20:20,03:20,07h 00m,350,3.3,24 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:40,02:50,04h 10m,539,4.7,39 Seats available
Metro Lines Travels,NON A/C Seater/ Sleeper (2+1),21:00,03:00,06h 00m,380,3.7,32 Seats available
Navayuga Travels,A/C Sleeper (2+1),18:10,22:40,04h 30m,649,4.0,31 Seats available
LUCKY TRAVELS,A/C Sleeper (2+1),22:45,04:00,05h 15m,549,3.9,26 Seats available
Vega Bus,A/C Seater / Sleeper (2+1),22:30,04:15,05h 45m,381,3.2,27 Seats available
ASHITHA TRAVELS,A/C Sleeper (2+1),21:40,03:45,06h 05m,570,4.2,24 Seats available
LUCKY TRAVELS,NON A/C Sleeper (2+1),22:50,04:20,05h 30m,599,3.8,16 Seats available
Jabbar Travels,Bharat Benz A/C Sleeper (2+1),22:45,03:30,04h 45m,495,4.0,30 Seats available
Jabbar Travels,NON A/C Sleeper (2+1),22:45,04:00,05h 15m,490,3.7,31 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:40,00:55,04h 15m,539,4.4,40 Seats available
KMBT Travels,A/C Seater / Sleeper (2+1),21:30,03:00,05h 30m,569,3.9,21 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:10,02:10,04h 00m,469,3.7,42 Seats available
AKHILA TRAVELS,A/C Semi Sleeper / Sleeper (2+1),22:40,03:01,04h 21m,549,3.7,26 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:20,00:55,04h 35m,539,4.0,38 Seats available
Sri Vinayaka Travels,A/C Seater / Sleeper (2+1),23:00,03:30,04h 30m,399,4.0,37 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:00,04:05,06h 05m,429,4.4,37 Seats available
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),20:00,00:30,04h 30m,500,3.6,31 Seats available
Sri Vengamamba Bus Transport(SVBT),A/C Sleeper (2+1),20:30,01:30,05h 00m,700,4.0,21 Seats available
Jagan Travels,A/C Sleeper (2+1),16:45,21:30,04h 45m,599,3.9,23 Seats available
Simhapuri Travels,NON A/C Sleeper (2+1),23:00,03:00,04h 00m,549,3.7,18 Seats available
Sri Vengamamba Bus Transport(SVBT),Non A/C Seater / Sleeper (2+1),22:15,03:15,05h 00m,394,3.5,24 Seats available
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),20:00,23:59,03h 59m,500,3.2,25 Seats available
Svkdt travels,A/C Sleeper (2+1),17:30,22:31,05h 01m,649,3.0,23 Seats available
Sri Vengamamba Bus Transport(SVBT),A/C Seater/Sleeper (2+1),21:40,03:00,05h 20m,450,3.9,25 Seats available
IRA Travels,Bharat Benz A/C Sleeper (2+1),22:30,03:00,04h 30m,729,4.4,28 Seats available
AKHILA TRAVELS,A/C Semi Sleeper / Sleeper (2+1),22:25,02:46,04h 21m,549,4.0,29 Seats available
Sri Vengamamba Bus Transport(SVBT),A/C Seater/Sleeper (2+1),21:00,01:15,04h 15m,500,3.7,24 Seats available
SRKT Travels,A/C Seater / Sleeper (2+1),20:00,00:40,04h 40m,700,4.3,33 Seats available
Sai Balaji Travels,A/C Seater / Sleeper (2+1),18:50,23:59,05h 09m,649,3.4,35 Seats available
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:40,02:05,04h 25m,539,3.5,36 Seats available
Rajeswari Travels,NON A/C Sleeper (2+1),21:10,04:00,06h 50m,650,3.6,18 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:15,02:15,06h 00m,1999,3.4,22 Seats available
Sai Sindhu Travels,NON A/C Sleeper (2+1),23:15,04:30,05h 15m,490,3.8,23 Seats available
RK Travels,Non A/C Seater / Sleeper (2+1),20:30,03:30,07h 00m,350,3.2,33 Seats available
RK Travels,Non A/C Seater / Sleeper (2+1),20:40,03:40,07h 00m,599,3.4,22 Seats available
GreenLine Travels And Holidays,NON A/C Sleeper (2+1),23:00,05:00,06h 00m,660,3.2,24 Seats available
Kamakshi Tours And Travels,A/C Sleeper (2+1),20:30,02:00,05h 30m,700,3.9,21 Seats available
CCC Bus,A/C Sleeper (2+1),19:45,23:54,04h 09m,899,4.6,28 Seats available
LUCKY TRAVELS,A/C Sleeper (2+1),20:25,04:00,07h 35m,700,3.8,20 Seats available
